Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Дивное,жилой комплекс,Новостройки,"Зелёный переулок, к3 стр",,,,,Видное,Ленинский городской округ,Московская область,Россия,,+03:00,84952923627 (отдел продаж - пн-вс 9:00-21:00),,,,http://дивное.рф/?utm_source=2gis&utm_medium=media&utm_campaign=2gis,,,,,,55.564217000000006,37.709598,https://2gis.com/firm/70000001048570384
Эдельвейс Комфорт,Офис продаж,Новостройки,"Трубецкая, 81",,143909.0,,,Балашиха,Балашиха городской округ,Московская область,Россия,,+03:00,84951071040,84951071000 (отдел продаж: пн-вс 10:00-19:00),89653190384,,http://эдельвейс-комфорт.рф,,,,,,55.836093000000005,37.971167,https://2gis.com/firm/70000001033751870
ПИК,Жилой комплекс Матвеевский парк,Новостройки,"Очаковское шоссе, к13",,119530.0,,Очаково-Матвеевское район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/mtvpark?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=matveev_park,,,,https://vk.com/pikru,,55.693486,37.463784000000004,https://2gis.com/firm/70000001064709708
ПИК,Жилой комплекс Ильменский 17,Новостройки,"Ильменский проезд, 17 к2",дом сдан,125504.0,,Западное Дегунино район,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/ilmen?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=ilmenskiy,,,,https://vk.com/pikru,,55.86048100000001,37.541051,https://2gis.com/firm/70000001041390859
ПИК,Жилой комплекс Мичуринский парк,Новостройки,"Озёрная улица, к1/1",,119361.0,,Очаково-Матвеевское район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/mpark?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=michurinskiy,,,,https://vk.com/pikru,,55.668372999999995,37.440228000000005,https://2gis.com/firm/70000001053752545
А101,Жилой комплекс Прокшино,Новостройки,"ЖК Прокшино, 2 к2",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/prokshino/?utm_source=2gis&utm_medium=specpaket&utm_campaign=prokshino,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.591176000000004,37.425478999999996,https://2gis.com/firm/70000001045040245
Лесная Отрада,жилой комплекс,Новостройки,"Лесная Отрада жк, к21",,143442.0,,,,Красногорск городской округ,Московская область,Россия,,+03:00,84951045598 (отдел продаж - пн-вс 9:00-21:00),,,,http://kvartaly-otrada.ru/?utm_source=2gis&utm_medium=banner&utm_campaign=m108&utm_content=spec_all,,,,https://vk.com/otradakvartal,,55.895965000000004,37.288677,https://2gis.com/firm/70000001061434572
Аквилон Park,Офис продаж,,"микрорайон Эдальго, 6к",,108801.0,,Сосенское поселение,,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84951547019 (отдел продаж - пн-вс 9:00-21:00),,,,http://akvilon-park.ru/?utm_source=2gis_map&utm_medium=affiliate&utm_campaign=akvilon_beside_2gis_map,,,,,,55.571344999999994,37.486221,https://2gis.com/firm/70000001049697508
ПИК,Жилой комплекс Матвеевский парк,Новостройки,"Очаковское шоссе, к1/3",,119530.0,,Очаково-Матвеевское район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/mtvpark?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=matveev_park,,,,https://vk.com/pikru,,55.69451899999999,37.461469,https://2gis.com/firm/70000001062363375
Люберцы 2020,жилой комплекс,Новостройки,"3-й квартал, к62",,140016.0,Самолёт м-н,,Люберцы,Люберцы городской округ,Московская область,Россия,,+03:00,84951261638 (единый номер: пн-вс 9:00-21:00),,,,http://lubercysamolet.ru,,,,,https://youtube.com/channel/UCkCTYCHDaYqHVPWlt7tS5Xg/featured,55.695966000000006,37.955002,https://2gis.com/firm/70000001051890544
Люберцы 2020,жилой комплекс,Новостройки,"3-й квартал, к61",,140016.0,Самолёт м-н,,Люберцы,Люберцы городской округ,Московская область,Россия,,+03:00,84951261638 (единый номер: пн-вс 9:00-21:00),,,,http://lubercysamolet.ru,,,,,https://youtube.com/channel/UCkCTYCHDaYqHVPWlt7tS5Xg/featured,55.696583999999994,37.955774,https://2gis.com/firm/70000001051073093
ПИК,Жилой комплекс Матвеевский парк,Новостройки,"Очаковское шоссе, к1/5",,119530.0,,Очаково-Матвеевское район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/mtvpark?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=matveev_park,,,,https://vk.com/pikru,,55.69523,37.459713,https://2gis.com/firm/70000001062363338
Живописный,строящийся жилой комплекс,Новостройки,"Живописный жилой комплекс, к3",,,,,,Ленинский городской округ,Московская область,Россия,,+03:00,84958461543 (единый номер - пн-вс 9:00-21:00),,,info@granelle.com,http://www.granelle.ru/objects/zhivopisnyj/?utm_source=2gis&utm_campaign=zhiv,,,,,,55.555503,37.639846999999996,https://2gis.com/firm/70000001056070639
Новая Щербинка,жилой комплекс,Новостройки,"ЖК Новая Щербинка, к15 стр",,142143.0,,,,Подольск городской округ,Московская область,Россия,,+03:00,84951278647 (отдел продаж - пн-пт 10:00-19:00),,,,http://new-scherbinka.ru,,,,,,55.479792,37.597474,https://2gis.com/firm/70000001043183144
Шепчинки,жилой комплекс,Новостройки,"Ватутина, 54",,142114.0,Шепчинки м-н,,Подольск,Подольск городской округ,Московская область,Россия,,+03:00,,,,,,,,,,,55.414126,37.532443,https://2gis.com/firm/70000001021410616
Московский фонд реновации жилой застройки,,Новостройки,"Дубининская улица, вл59-69",,115054.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,"84956510797 (доп.812, единый номер - пн-чт 8:30-17:30; пт 8:30-16:45)",,,,http://fr.mos.ru,,,,https://vk.com/mosfr_official,,55.713635,37.633851,https://2gis.com/firm/70000001063733878
ПИК,Жилой комплекс Кольская 8,Новостройки,"Кольская, 8 к2/2",,129329.0,,Бабушкинский район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/kolskaya8?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=kolskaya,,,,https://vk.com/pikru,,55.86083000000001,37.649046999999996,https://2gis.com/firm/70000001064848991
Лесобережный,жилой комплекс,Новостройки,"ЖК Лесобережный, 2",,,,,,Красногорск городской округ,Московская область,Россия,,+03:00,84959884422 (офис продаж - пн-вс 10:00-20:00),,,,http://www.ndv.ru,,,,,,55.815881000000005,37.213335,https://2gis.com/firm/70000001047839142
Мишино-2,строящийся жилой комплекс,Новостройки,"Озёрная, 1 к7",,141402.0,Клязьма-Старбеево м-н,,Химки,Химки городской округ,Московская область,Россия,,+03:00,84951531821,84997077730,,,http://мишино.рф,,,,,,55.923573,37.434165,https://2gis.com/firm/70000001063160240
ПИК,Жилой комплекс Люблинский парк,Новостройки,"Люблинская улица, вл72 к9-10 стр",,109382.0,,Люблино район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://pik.ru/lublinpark?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=lyublin_park,,,,https://vk.com/pikru,,55.665201,37.73317,https://2gis.com/firm/70000001047863646
Мишино-2,строящийся жилой комплекс,Новостройки,"Озёрная, 1 к8",,141402.0,Клязьма-Старбеево м-н,,Химки,Химки городской округ,Московская область,Россия,,+03:00,84951531821,84997077730,,,http://мишино.рф,,,,,,55.923536999999996,37.432912,https://2gis.com/firm/70000001063160230
Мишино-2,строящийся жилой комплекс,Новостройки,"Озёрная, 1 к9",,141402.0,Клязьма-Старбеево м-н,,Химки,Химки городской округ,Московская область,Россия,,+03:00,84951531821,84997077730,,,http://мишино.рф,,,,,,55.923598999999996,37.431488,https://2gis.com/firm/70000001063160193
ПИК,Жилой комплекс Дмитровский парк,Новостройки,"Лобненская улица, 13 к1",дом сдан,127644.0,,Дмитровский район,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,info@pik.ru,http://www.pik.ru/dp?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=dmitr_park,,,,https://vk.com/pikru,,55.889514,37.529358,https://2gis.com/firm/70000001041390959
Новая Щербинка,жилой комплекс,Новостройки,"ЖК Новая Щербинка, к10 стр",,142143.0,,,,Подольск городской округ,Московская область,Россия,,+03:00,84951278647 (отдел продаж - пн-пт 10:00-19:00),,,,http://new-scherbinka.ru,,,,,,55.481085,37.598347,https://2gis.com/firm/70000001043086295
ПИК,строящиеся объекты,Новостройки,"Красноказарменная улица, 15 к1",,111250.0,,Лефортово район,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,info@pik.ru,http://www.pik.ru/kk15?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=krasnokazarm15,,,,https://vk.com/pikru,,55.755763,37.705545,https://2gis.com/firm/70000001044492514
ПИК,Жилой комплекс Полярная 25,Новостройки,"Полярная улица, 27 к1",дом сдан,127081.0,,Южное Медведково район,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/polar?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=polyarnaya,,,,https://vk.com/pikru,,55.882177,37.637953,https://2gis.com/firm/70000001041390031
А101,Жилой комплекс Скандинавия,Новостройки,"Скандинавский бульвар, 7",дом сдан,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=specpaket&utm_campaign=skandinaviya,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.564255,37.501245000000004,https://2gis.com/firm/70000001038578017
ПИК,Жилой комплекс Восточное Бутово,Новостройки,"Лесная улица, 2",дом сдан,142720.0,Восточное Бутово м-н,,,Ленинский городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/mkr-vostochnoe-butovo?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=vostochnoe_butovo,,,,https://vk.com/pikru,,55.53735,37.615387,https://2gis.com/firm/70000001041399850
Russian design district,жилой комплекс,Новостройки,"посёлок Ватутинки, к5",,108818.0,,Десёновское поселение,Москва,,Москва,Россия,,+03:00,84951521737,,,,http://rdd.design,,,,,,55.50346999999999,37.321052,https://2gis.com/firm/70000001056070591
Лесобережный,жилой комплекс,Новостройки,"ЖК Лесобережный, 11",,,,,,Красногорск городской округ,Московская область,Россия,,+03:00,84959884422 (офис продаж - пн-вс 10:00-20:00),,,,http://www.ndv.ru,,,,,,55.816378,37.207019,https://2gis.com/firm/70000001047839021
Новое Внуково,строящийся жилой комплекс,Новостройки,"жилой комплекс Новое Внуково, к15",,,,Кокошкино поселение,,,Москва,Россия,,+03:00,84951261638 (отдел продаж - пн-вс 9:00-21:00),,,,http://samolet.ru,,,,,,55.589489,37.171803000000004,https://2gis.com/firm/70000001063161193
Лесобережный,жилой комплекс,Новостройки,"ЖК Лесобережный, 14",,,,,,Красногорск городской округ,Московская область,Россия,,+03:00,84959884422 (офис продаж - пн-вс 10:00-20:00),,,,http://www.ndv.ru,,,,,,55.81695799999999,37.206801,https://2gis.com/firm/70000001047839042
ПИК,Жилой комплекс Щитниково Изумрудный,Новостройки,"Изумрудный квартал, 12",дом сдан,143906.0,Изумрудный м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,info@pik.ru,http://www.pik.ru/izum?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=izum,,,,https://vk.com/pikru,,55.823890000000006,37.888049,https://2gis.com/firm/4504128908425137
ПИК,Жилой комплекс Кавказский бульвар 51,Новостройки,"Кавказский бульвар, вл51 к1/4",,115516.0,,Царицыно район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/kvb51?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=kavk_bulvar,,,,https://vk.com/pikru,,55.627504,37.640718,https://2gis.com/firm/70000001057748657
А101,Жилой комплекс Прокшино,Новостройки,"ЖК Прокшино, 8 к1",,,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/prokshino/?utm_source=2gis&utm_medium=specpaket&utm_campaign=prokshino,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.595513000000004,37.43053,https://2gis.com/firm/70000001058646644
ПИК,Жилой комплекс Кавказский бульвар 51,Новостройки,"Кавказский бульвар, вл51 к1/1",,115516.0,,Царицыно район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,info@pik.ru,http://www.pik.ru/kvb51?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=kavk_bulvar,,,,https://vk.com/pikru,,55.628202,37.639837,https://2gis.com/firm/70000001057748599
А101,Жилой комплекс Скандинавия,Новостройки,"ЖК Скандинавия, к22/2",,108814.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=specpaket&utm_campaign=skandinaviya,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.559431999999994,37.505874,https://2gis.com/firm/70000001057680528
Переделкино ближнее,жилой комплекс,Новостройки,"улица Бориса Пастернака, к2",,,Переделкино Ближнее м-н,Внуковское поселение,Москва,,Москва,Россия,,+03:00,,,,,http://absrealty.ru,,,,,,55.639938,37.316407,https://2gis.com/firm/70000001060672366
ПИК,Жилой комплекс Ильинские луга,Новостройки,"Заповедная улица, 10",дом сдан,143421.0,,,,Красногорск городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/il-luga?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=novorigskie_kvart,,,,https://vk.com/pikru,,55.774465,37.236253999999995,https://2gis.com/firm/70000001043909133
Спутник,строящийся комплекс апартаментов,Новостройки,"Мякининское шоссе, к15",,143082.0,,,,Одинцовский городской округ,Московская область,Россия,,+03:00,84952360523 (отдел продаж - пн-вс 9:00-21:00),84951261638,,,http://sputnikcity.ru,http://samolet.ru,,,https://vk.com/sputnikcitymsk,https://youtube.com/channel/UCkCTYCHDaYqHVPWlt7tS5Xg/videos,55.80013100000001,37.378151,https://2gis.com/firm/70000001028138620
Императорские Мытищи,жилой комплекс,Новостройки,"Тенистый бульвар, 5",дом сдан,141032.0,,,Мытищи,Мытищи городской округ,Московская область,Россия,,+03:00,84952921561 (отдел продаж: пн-вс 9:00-21:00),,,info@granelle.com,http://granelle.ru/objects/mytishi/?utm_source=2gis&utm_campaign=im,,,https://twitter.com/gk_granelle,https://vk.com/granelle_group,https://youtube.com/channel/UCxrNN-zjDh74HfWm5A9Plrw,55.958587,37.673025,https://2gis.com/firm/70000001057678623
Нахимов,строящийся многофункциональный комплекс,Новостройки,"Нахимовский проспект, вл31 к3",,117418.0,,Черёмушки район,Москва,,Москва,Россия,,+03:00,84951274024,,,,http://нахимов.москва/?utm_source=fi_2gis&utm_medium=cpc&utm_campaign=fi_nakhimov,,,,,,55.670626,37.581358,https://2gis.com/firm/70000001027557867
ПИК,Жилой комплекс Ярославский,Новостройки,"Мира, 49",дом сдан,141021.0,16-й м-н,,Мытищи,Мытищи городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/zhiloi-raion-yaroslavskii?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=yaroslavsky,,,,https://vk.com/pikru,,55.92149499999999,37.712528000000006,https://2gis.com/firm/70000001041402885
Алхимово,строящийся жилой комплекс,Новостройки,"Рязановское шоссе, к3 стр",,108823.0,,Рязановское поселение,Москва,,Москва,Россия,,+03:00,84951261638 (отдел продаж),,,,http://samolet.ru,,,,,,55.476749,37.526336,https://2gis.com/firm/70000001047608715
ПИК,Жилой комплекс Римского-Корсакова 11,Новостройки,"улица Римского-Корсакова, 11 к2",дом сдан,127566.0,,Отрадное район,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/rk11?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=rk11,,,,https://vk.com/pikru,,55.874289000000005,37.600508000000005,https://2gis.com/firm/70000001041389615
Императорские Мытищи,жилой комплекс,Новостройки,"Тенистый бульвар, 6",дом сдан,141032.0,,,Мытищи,Мытищи городской округ,Московская область,Россия,,+03:00,84952921561 (отдел продаж: пн-вс 9:00-21:00),,,info@granelle.com,http://granelle.ru/objects/mytishi/?utm_source=2gis&utm_campaign=im,,,https://twitter.com/gk_granelle,https://vk.com/granelle_group,https://youtube.com/channel/UCxrNN-zjDh74HfWm5A9Plrw,55.95879,37.681429,https://2gis.com/firm/70000001038877758
VESNA,строящийся жилой комплекс,Новостройки,"Ясная, к1 стр",,143362.0,,,Апрелевка,Наро-Фоминский городской округ,Московская область,Россия,,+03:00,,,,,http://www.ingrad.ru/projects/vesna,,,,,,55.53369300000001,37.064538,https://2gis.com/firm/70000001050730606
Бригантина,строящийся жилой комплекс,Новостройки,"Молодёжная, к15 стр",дом сдан,141702.0,Гранитный м-н,,Долгопрудный,Долгопрудный городской округ,Московская область,Россия,,+03:00,84952416404 (отдел продаж - пн-вс 9:00-21:00),,,,http://www.granelle.ru/objects/br/?utm_source=2gis&utm_campaign=br,,,,,,55.947635999999996,37.484961,https://2gis.com/firm/70000001036433266
Алхимово,строящийся жилой комплекс,Новостройки,"улица Уточкина, 7 к1",,108823.0,,Рязановское поселение,Москва,,Москва,Россия,,+03:00,84951261638 (отдел продаж),,,,http://samolet.ru,,,,,,55.47523100000001,37.525428999999995,https://2gis.com/firm/70000001047608796
Бригантина,строящийся жилой комплекс,Новостройки,"Парковая, 50",дом сдан,141702.0,Гранитный м-н,,Долгопрудный,Долгопрудный городской округ,Московская область,Россия,,+03:00,84952416404 (отдел продаж - пн-вс 9:00-21:00),,,,http://www.granelle.ru/objects/br/?utm_source=2gis&utm_campaign=br,,,,,,55.948005,37.48325,https://2gis.com/firm/70000001036433257
Кленовые Аллеи,жилой комплекс,Новостройки,"улица Яворки, 1 к4",дом сдан,,,Десёновское поселение,Москва,,Москва,Россия,,+03:00,84953244985 (отдел продаж - пн-вс 9:00-21:00),,,,http://klen-alley.ru/?utm_source=2GIS&utm_medium=static&utm_campaign=media_oct_21&utm_term=object_card&utm_content=object_card,,,,,,55.508852000000005,37.342608,https://2gis.com/firm/70000001035624888
Бригантина,строящийся жилой комплекс,Новостройки,"Парковая, 48",дом сдан,141702.0,Гранитный м-н,,Долгопрудный,Долгопрудный городской округ,Московская область,Россия,,+03:00,84952416404 (отдел продаж - пн-вс 9:00-21:00),,,,http://www.granelle.ru/objects/br/?utm_source=2gis&utm_campaign=br,,,,,,55.94935400000001,37.484109000000004,https://2gis.com/firm/70000001038821842
Бригантина,строящийся жилой комплекс,Новостройки,"Молодёжная, к6 стр",,141702.0,Гранитный м-н,,Долгопрудный,Долгопрудный городской округ,Московская область,Россия,,+03:00,84952416404 (отдел продаж - пн-вс 9:00-21:00),,,,http://www.granelle.ru/objects/br/?utm_source=2gis&utm_campaign=br,,,,,,55.94981800000001,37.483844,https://2gis.com/firm/70000001047820588
Счастье на Семёновской,строящийся жилой дом,Новостройки,"Измайловское шоссе, вл20 ст1",,105318.0,,Соколиная Гора район,Москва,,Москва,Россия,,+03:00,84953788860,,,,http://schastye.ru/object/schaste-na-semenovskoy,,,,,,55.778876000000004,37.724221,https://2gis.com/firm/70000001040379646
А101,Жилой комплекс Скандинавия,Новостройки,"улица Эдварда Грига, 18 к3",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=specpaket&utm_campaign=skandinaviya,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.55344399999999,37.506968,https://2gis.com/firm/70000001049175931
Бригантина,строящийся жилой комплекс,Новостройки,"Молодёжная, к7 стр",,141702.0,Гранитный м-н,,Долгопрудный,Долгопрудный городской округ,Московская область,Россия,,+03:00,84952416404 (отдел продаж - пн-вс 9:00-21:00),,,,http://www.granelle.ru/objects/br/?utm_source=2gis&utm_campaign=br,,,,,,55.95046800000001,37.484856,https://2gis.com/firm/70000001047820581
Новый Зеленоград,жилой комплекс,Новостройки,"Кутузовский микрорайон, 3 к1",,141544.0,,,,Солнечногорск городской округ,Московская область,Россия,,+03:00,84951265053 (отдел продаж: пн-вс 9:00-21:00),,,,http://newzelenograd.ru,,,,,,55.949803,37.178218,https://2gis.com/firm/70000001043888903
Кленовые Аллеи,жилой комплекс,Новостройки,"Чароитовая, 1 к6",дом сдан,,,Десёновское поселение,Москва,,Москва,Россия,,+03:00,84953244985 (отдел продаж - пн-вс 9:00-21:00),,,,http://klen-alley.ru/?utm_source=2GIS&utm_medium=static&utm_campaign=media_oct_21&utm_term=object_card&utm_content=object_card,,,,,,55.510090000000005,37.348935,https://2gis.com/firm/70000001034825466
Бригантина,строящийся жилой комплекс,Новостройки,"Молодёжная, к4",,141702.0,Гранитный м-н,,Долгопрудный,Долгопрудный городской округ,Московская область,Россия,,+03:00,84952416404 (отдел продаж - пн-вс 9:00-21:00),,,,http://www.granelle.ru/objects/br/?utm_source=2gis&utm_campaign=br,,,,,,55.951223,37.484423,https://2gis.com/firm/70000001057678972
Бригантина,строящийся жилой комплекс,Новостройки,"Молодёжная, к5",,141702.0,Гранитный м-н,,Долгопрудный,Долгопрудный городской округ,Московская область,Россия,,+03:00,84952416404 (отдел продаж - пн-вс 9:00-21:00),,,,http://www.granelle.ru/objects/br/?utm_source=2gis&utm_campaign=br,,,,,,55.951498,37.485490000000006,https://2gis.com/firm/70000001056076845
Мечта,жилой комплекс,Новостройки,"10-й квартал, 30",,141895.0,,,,Дмитровский городской округ,Московская область,Россия,,+03:00,,,,,,,,,,,56.075766,37.372155,https://2gis.com/firm/70000001017988417
ПИК,Жилой комплекс Полар,Новостройки,"Полярная улица, к1/3",,127282.0,,Северное Медведково район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/plr?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=polyarnaya,,,,https://vk.com/pikru,,55.89289599999999,37.644182,https://2gis.com/firm/70000001062282512
Горки парк,жилой комплекс,Новостройки,"деревня Коробово, к7/1",,,,,,Ленинский городской округ,Московская область,Россия,,+03:00,84951261638,,,,http://samolet.ru/project/gorki-park,,,,,,55.525563,37.822588,https://2gis.com/firm/70000001059570470
Горки парк,жилой комплекс,Новостройки,"деревня Коробово, к7/2",,,,,,Ленинский городской округ,Московская область,Россия,,+03:00,84951261638,,,,http://samolet.ru/project/gorki-park,,,,,,55.525523,37.824171,https://2gis.com/firm/70000001059570501
ПИК,Жилой комплекс Белая Дача парк,Новостройки,"Белая Дача парк, к8 стр",,,,,Котельники,Котельники городской округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/bd?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=bel_dacha,,,,https://vk.com/pikru,,55.657688,37.871198,https://2gis.com/firm/70000001041395365
Зеленоград cити,строящийся жилой комплекс,Новостройки,"Савёлкинский проезд, к343",,124482.0,3-й м-н,Савёлки район,Зеленоград,,Москва,Россия,,+03:00,84959815595 (отдел продаж - пн-вс 9:00-21:00),,,,http://ZEL-CITY.RU,,,,,,55.993047999999995,37.220042,https://2gis.com/firm/70000001045036610
Героев,жилой комплекс,Новостройки,"проспект Героев, к311 ст1",,143989.0,Железнодорожный м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,,+03:00,,,,,http://kvartal-geroev.ru/?utm_source=2gis&utm_medium=cpm&utm_campaign=geokontext&utm_content=glavnaya,,,,https://vk.com/kvartalgeroev,,55.736225,37.998878000000005,https://2gis.com/firm/70000001059175589
Героев,жилой комплекс,Новостройки,"проспект Героев, к314 ст1",,143989.0,Железнодорожный м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,,+03:00,,,,,http://kvartal-geroev.ru/?utm_source=2gis&utm_medium=cpm&utm_campaign=geokontext&utm_content=glavnaya,,,,https://vk.com/kvartalgeroev,,55.736968000000005,37.998992,https://2gis.com/firm/70000001059175573
ПИК,Жилой комплекс Восточное Бутово,Новостройки,"Лесная улица, 6",,142720.0,Восточное Бутово м-н,,,Ленинский городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/mkr-vostochnoe-butovo?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=vostochnoe_butovo,,,,https://vk.com/pikru,,55.538423,37.617265,https://2gis.com/firm/70000001045532311
ФСК,Жилой комплекс Скандинавский,Новостройки,"Малая Бородинская, к6",,,,,,Мытищи городской округ,Московская область,Россия,,+03:00,84953247290 (отдел продаж - пн-пт 9:00-18:00),,,info@fsk-lider.ru,http://fsk.ru/skandinavskiy,,,,https://vk.com/gk_fsk,https://youtube.com/user/TheFsklider,55.922278000000006,37.658894000000004,https://2gis.com/firm/70000001059572860
Clementine,апарт-комплекс,Новостройки,"Корнейчука, вл27",,127543.0,,Бибирево район,Москва,,Москва,Россия,,+03:00,84954143847,,,,http://www.clementine.ru,,,,,,55.899167000000006,37.625473,https://2gis.com/firm/70000001062147412
